episode_id,scenario_name,config_name,pedestrian_mode,seed,dropout_prob,outcome,duration_s,wall_s,path_length_m,min_human_distance_m,intervention_count_total,intervention_count_cause_0,intervention_count_cause_1,intervention_count_cause_2,intervention_count_cause_3,intervention_count_cause_4,intervention_count_cause_5,intervention_count_cause_6,intervention_count_cause_7
open_arena_baseline_mppi_non_reactive_seed2,open_arena,baseline_mppi,non_reactive,2,0.0,collision,8.05,16.00903047400061,1.8100577160531977,0.3832992255246895,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed3,open_arena,baseline_mppi,non_reactive,3,0.0,collision,11.71,19.600109130995406,2.7619495293810874,0.37979979299936445,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed4,open_arena,baseline_mppi,non_reactive,4,0.0,collision,7.5,15.400936699996237,1.5800570083716647,0.3699086260220569,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed5,open_arena,baseline_mppi,non_reactive,5,0.0,collision,5.25,13.135664206994988,0.1918752902133409,0.3360640777604216,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed6,open_arena,baseline_mppi,non_reactive,6,0.0,collision,9.76,17.792894418998912,2.270236647425259,0.36540987479027764,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed7,open_arena,baseline_mppi,non_reactive,7,0.0,collision,4.05,12.00461955400533,0.011535508870238036,0.3852144934601426,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed0,open_arena,policy_raw,reactive,0,0.0,success,13.8,35.91923232699628,4.498797074758462,0.4410140852374353,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed1,open_arena,policy_raw,reactive,1,0.0,success,15.0,23.020484157001192,5.334134153479593,0.4021793142068155,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed2,open_arena,policy_raw,reactive,2,0.0,success,14.2,22.20675649799523,4.286949656574455,0.49350574474416514,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed3,open_arena,policy_raw,reactive,3,0.0,success,11.4,19.441240783002286,3.8678930078437506,0.955287954036912,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed4,open_arena,policy_raw,reactive,4,0.0,success,13.6,21.50137352800084,4.009167400256179,0.6187865317570754,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed5,open_arena,policy_raw,reactive,5,0.0,success,13.2,21.158960481996473,4.637138040949138,0.4003885640771382,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed6,open_arena,policy_raw,reactive,6,0.0,success,13.6,21.648825966003642,5.245536600715248,0.4372509979745753,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_reactive_seed7,open_arena,policy_raw,reactive,7,0.0,collision,4.5,12.506978197001445,0.19683399921017364,0.36094777909197684,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed0,open_arena,policy_raw,non_reactive,0,0.0,collision,9.2,17.124090399003762,3.638680160612361,0.3308365742694718,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed1,open_arena,policy_raw,non_reactive,1,0.0,collision,8.35,16.527711748,3.025596668967348,0.35474348315750326,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed2,open_arena,policy_raw,non_reactive,2,0.0,collision,13.51,21.416887806000886,4.8697991503758455,0.35922436258691903,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed3,open_arena,policy_raw,non_reactive,3,0.0,collision,14.56,21.81017289799638,5.208605631300422,0.3878580532997255,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed4,open_arena,policy_raw,non_reactive,4,0.0,collision,12.01,19.91623850599717,4.046016120785015,0.38327712632673416,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed5,open_arena,policy_raw,non_reactive,5,0.0,collision,5.0,12.962412575994676,0.5611496540914305,0.3579250948144388,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed6,open_arena,policy_raw,non_reactive,6,0.0,collision,8.6,16.772181263993843,2.991548983606469,0.3384789797091427,0,0,0,0,0,0,0,0,0
open_arena_policy_raw_non_reactive_seed7,open_arena,policy_raw,non_reactive,7,0.0,collision,4.05,11.945925134998106,0.008196295972754291,0.3884325223841295,0,0,0,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed0,open_arena,policy_supervised,reactive,0,0.0,collision,12.56,20.570384400001785,4.428174286493909,0.37229276201734607,7,0,7,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed1,open_arena,policy_supervised,reactive,1,0.0,collision,11.71,19.63568638700235,2.377540284156413,0.3427315269807348,18,0,18,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed2,open_arena,policy_supervised,reactive,2,0.0,collision,15.26,23.349666344998695,4.074514836559215,0.3761365420910354,15,0,15,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed3,open_arena,policy_supervised,reactive,3,0.0,success,26.0,33.9249448039991,4.931861790143643,0.42338452046212766,29,0,29,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed4,open_arena,policy_supervised,reactive,4,0.0,success,15.6,23.68824032699922,4.933563677225782,0.4623222330442025,9,0,9,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed5,open_arena,policy_supervised,reactive,5,0.0,success,15.8,23.72818028600159,4.6809093749409945,0.40435070095139186,5,0,5,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed6,open_arena,policy_supervised,reactive,6,0.0,success,19.0,27.09448889399937,5.30393283057642,0.4590377738645691,12,0,12,0,0,0,0,0,0
open_arena_policy_supervised_reactive_seed7,open_arena,policy_supervised,reactive,7,0.0,collision,4.8,12.846578404998581,0.10950463095076786,0.38687271664063455,1,0,1,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed0,open_arena,policy_supervised,non_reactive,0,0.0,success,15.6,23.578959363003378,4.50444995337093,0.45275788082158486,13,0,13,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed1,open_arena,policy_supervised,non_reactive,1,0.0,collision,6.85,14.770472800002608,0.0957369211174011,0.3828892199472764,9,0,9,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed2,open_arena,policy_supervised,non_reactive,2,0.0,collision,14.81,22.781154165997577,3.826729104003919,0.34122203755008923,16,0,16,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed3,open_arena,policy_supervised,non_reactive,3,0.0,collision,31.11,38.49800045200391,4.040799613452636,0.35033926133535925,27,0,27,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed4,open_arena,policy_supervised,non_reactive,4,0.0,collision,10.21,18.154894106002757,3.0252246789675437,0.38172980860140837,9,0,9,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed5,open_arena,policy_supervised,non_reactive,5,0.0,collision,5.0,12.975426962999336,0.49127942249379064,0.37841698580173966,2,0,2,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed6,open_arena,policy_supervised,non_reactive,6,0.0,collision,9.76,17.71451152100053,1.7426081997079705,0.3589025205094429,16,0,16,0,0,0,0,0,0
open_arena_policy_supervised_non_reactive_seed7,open_arena,policy_supervised,non_reactive,7,0.0,collision,4.05,12.011074177004048,0.02023980908117773,0.37681125170283786,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed0,depot,baseline_mppi,reactive,0,0.0,success,9.2,17.194295127999794,1.7359197925478254,1.1529303490664378,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed1,depot,baseline_mppi,reactive,1,0.0,success,9.0,16.970306846000312,1.716988315449463,1.050190176704925,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed2,depot,baseline_mppi,reactive,2,0.0,success,9.8,17.886224026995478,1.7774392389367402,0.5281796818290942,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed3,depot,baseline_mppi,reactive,3,0.0,success,10.0,18.00663202800206,1.766586619226144,0.9151773352465017,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed4,depot,baseline_mppi,reactive,4,0.0,success,9.6,17.529210747001343,1.768608832112444,0.7010221208453457,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed5,depot,baseline_mppi,reactive,5,0.0,success,9.4,17.312771347998932,1.7621326099836179,0.4278734977833057,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed6,depot,baseline_mppi,reactive,6,0.0,success,9.2,17.17807628599985,1.7531464599582791,0.8256878307459011,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_reactive_seed7,depot,baseline_mppi,reactive,7,0.0,collision,4.65,12.547582742998202,0.15064974721944976,0.3778657350881385,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_non_reactive_seed0,depot,baseline_mppi,non_reactive,0,0.0,success,9.6,17.55340883799363,1.7738268023587382,0.9131639169843336,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_non_reactive_seed1,depot,baseline_mppi,non_reactive,1,0.0,success,9.2,17.185938870003156,1.7499023516051098,0.4697888236666237,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_non_reactive_seed2,depot,baseline_mppi,non_reactive,2,0.0,collision,8.2,16.15112064099958,1.410823918415228,0.3858328941743957,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_non_reactive_seed3,depot,baseline_mppi,non_reactive,3,0.0,success,9.6,17.609216500997718,1.705130877310344,0.704080118446788,0,0,0,0,0,0,0,0,0
depot_baseline_mppi_non_reactive_seed4,depot,baseline_mppi,non_reactive,4,0.0,success,9.8,17.75836430000345,1.7693588768739241,0.7127062042546091,0,0,0,0,0,0,0,0,0
